Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
channel_1,0.08334,0.04178,0.04159,0.16667,0.12500
channel_10,0.04167,0.01190,0.02977,0.08333,0.04144
channel_100,0.04167,0.01190,0.03570,0.16667,0.02977
channel_101,0.04167,0.08333,0.12500,0.16667,0.01190
channel_102,0.04167,0.08333,0.12500,0.29167,0.20833
channel_103,0.04167,0.08333,0.20833,0.12500,0.16667
channel_104,0.04167,0.01190,0.03570,0.02977,0.08333
channel_105,0.04167,0.01190,0.02977,0.03574,0.12500
channel_106,0.04167,0.01190,0.01787,0.02380,0.02977
channel_107,0.04167,0.01190,0.16667,0.02977,0.20833
channel_108,0.04167,0.01190,0.08333,0.02977,0.03570
channel_109,0.04167,0.08333,0.12500,0.01190,0.16667
channel_11,0.04167,0.08333,0.12500,0.01190,0.29167
channel_110,0.04167,0.08333,0.16667,0.12500,0.08930
channel_111,0.04167,0.08333,0.12500,0.16667,0.01190
channel_112,0.04167,0.08333,0.12500,0.16667,0.01190
channel_113,0.04167,0.08333,0.16667,0.01190,0.12500
channel_114,0.04167,0.04132,0.01190,0.03570,0.04703
channel_115,0.04167,0.04144,0.04189,0.12489,0.04224
channel_116,0.04167,0.04144,0.08333,0.04189,0.08311
channel_117,0.04167,0.08333,0.04189,0.04144,0.12500
channel_118,0.04167,0.01190,0.02977,0.03570,0.04764
channel_119,0.04167,0.08333,0.04144,0.04125,0.04208
channel_12,0.04167,0.01190,0.12500,0.02977,0.03570
channel_120,0.04167,0.01190,0.03570,0.02977,0.04764
channel_121,0.04167,0.01190,0.02977,0.03570,0.08333
channel_122,0.04167,0.08333,0.12500,0.02182,0.02137
channel_123,0.04167,0.08333,0.04224,0.04189,0.04254
channel_124,0.04167,0.01190,0.02977,0.03570,0.04764
channel_125,0.04167,0.01190,0.02977,0.03570,0.12500
channel_126,0.04167,0.04189,0.08333,0.04144,0.12500
channel_127,0.04167,0.01190,0.02977,0.03570,0.08333
channel_128,0.04167,0.01190,0.01787,0.02380,0.08333
channel_129,0.04167,0.01190,0.08333,0.12500,0.02977
channel_13,0.04167,0.08333,0.01190,0.02977,0.12500
channel_130,0.04167,0.01190,0.08333,0.02977,0.03570
channel_131,0.04167,0.01190,0.08333,0.02977,0.03570
channel_132,0.04167,0.01190,0.08345,0.08322,0.12496
channel_133,0.04167,0.01190,0.08333,0.12500,0.02977
channel_134,0.01190,0.04167,0.02977,0.12500,0.01787
channel_135,0.04167,0.01190,0.08333,0.01787,0.25000
channel_136,0.04167,0.08333,0.12500,0.16667,0.25000
channel_137,0.04167,0.08333,0.16667,0.12500,0.20833
channel_138,0.04167,0.08333,0.12500,0.16667,0.29167
channel_139,0.04167,0.08333,0.16667,0.12500,0.20833
channel_14,0.04167,0.08333,0.12500,0.01190,0.16667
channel_140,0.04167,0.08333,0.16667,0.12500,0.20833
channel_141,0.04167,0.08333,0.16667,0.12500,0.20833
channel_142,0.04167,0.08333,0.12500,0.16667,0.25000
channel_143,0.04167,0.08333,0.12500,0.16667,0.25000
channel_144,0.04167,0.08333,0.16667,0.12500,0.20833
channel_145,0.04167,0.08333,0.12500,0.16667,0.25000
channel_146,0.04167,0.08333,0.12500,0.16667,0.20833
channel_147,0.04167,0.08333,0.16667,0.20833,0.29167
channel_148,0.04167,0.08333,0.12500,0.16667,0.29167
channel_149,0.04167,0.08333,0.04144,0.04189,0.16667
channel_15,0.04167,0.08333,0.12500,0.04144,0.25000
channel_150,0.04167,0.08333,0.12500,0.16667,0.25000
channel_151,0.04167,0.08333,0.16667,0.29167,0.25000
channel_152,0.04167,0.08333,0.04144,0.04189,0.01190
channel_153,0.04167,0.08333,0.16667,0.04189,0.04144
channel_154,0.04167,0.08333,0.16667,0.04144,0.12496
channel_155,0.04167,0.08333,0.25000,0.12500,0.16667
channel_156,0.04167,0.08333,0.04144,0.04189,0.12500
channel_157,0.04167,0.08333,0.12500,0.16667,0.20833
channel_158,0.04167,0.08333,0.12500,0.16667,0.25000
channel_159,0.04167,0.08333,0.16667,0.04144,0.04189
channel_16,0.04167,0.08333,0.16667,0.02977,0.01190
channel_160,0.04167,0.08333,0.12500,0.16667,0.25000
channel_161,0.04167,0.08333,0.04189,0.04144,0.12500
channel_162,0.04167,0.08333,0.16667,0.12500,0.04189
channel_163,0.04167,0.08333,0.12500,0.16667,0.25000
channel_164,0.04167,0.08333,0.16667,0.12500,0.01190
channel_165,0.04167,0.08333,0.25000,0.12500,0.20833
channel_166,0.04167,0.08333,0.12500,0.04189,0.29167
channel_167,0.04167,0.08333,0.12500,0.16667,0.04144
channel_168,0.04167,0.08333,0.16667,0.04144,0.12500
channel_169,0.04167,0.08333,0.16667,0.04144,0.04189
channel_17,0.04167,0.08333,0.12500,0.16655,0.04144
channel_170,0.04167,0.08333,0.12500,0.25000,0.04144
channel_171,0.04167,0.08333,0.16667,0.12500,0.25000
channel_172,0.04167,0.08333,0.16667,0.12500,0.25000
channel_173,0.04167,0.08333,0.16667,0.01190,0.29167
channel_174,0.04167,0.08333,0.04144,0.04189,0.16667
channel_175,0.04167,0.08333,0.12500,0.25000,0.16667
channel_176,0.04167,0.08333,0.16667,0.12500,0.25000
channel_177,0.04167,0.08333,0.12500,0.04144,0.04189
channel_178,0.04167,0.08333,0.12500,0.16667,0.25000
channel_179,0.04167,0.08333,0.20833,0.33333,0.04144
channel_18,0.04167,0.08333,0.12500,0.04144,0.01190
channel_180,0.04167,0.08333,0.12500,0.16667,0.04189
channel_181,0.04167,0.08333,0.12500,0.04189,0.16667
channel_182,0.04167,0.08333,0.12500,0.16667,0.25000
channel_183,0.04167,0.08333,0.04144,0.04189,0.25000
channel_184,0.04167,0.08333,0.12500,0.04189,0.04144
channel_185,0.04167,0.08333,0.16667,0.12500,0.25000
channel_186,0.04167,0.08333,0.20833,0.12500,0.25000
channel_187,0.04167,0.08333,0.16667,0.20833,0.29167
channel_188,0.04167,0.08333,0.16667,0.29167,0.20833
channel_189,0.04167,0.08333,0.20833,0.04144,0.04189
channel_19,0.04167,0.08333,0.12500,0.01190,0.29167
channel_190,0.04167,0.08333,0.16667,0.20833,0.04144
channel_191,0.04167,0.08333,0.12500,0.16667,0.29167
channel_192,0.04167,0.08333,0.12500,0.20833,0.16667
channel_193,0.04167,0.08333,0.12500,0.20833,0.04144
channel_194,0.04167,0.08333,0.12500,0.04144,0.16667
channel_195,0.04167,0.08333,0.20833,0.33333,0.29167
channel_196,0.04167,0.08333,0.20833,0.16667,0.12500
channel_197,0.04167,0.08333,0.25000,0.20833,0.12500
channel_198,0.04167,0.08333,0.20833,0.04144,0.16667
channel_199,0.04167,0.08333,0.20833,0.04144,0.04189
channel_1solar,N/A,N/A,N/A,N/A,N/A
channel_2,0.08333,0.04167,0.16667,0.25000,0.08930
channel_20,0.04167,0.08333,0.12500,0.16667,0.20833
channel_200,0.04167,0.08333,0.04144,0.20833,0.16667
channel_201,0.04167,0.08333,0.16667,0.12500,0.04144
channel_202,0.04167,0.08333,0.12500,0.16667,0.04189
channel_203,0.04167,0.08333,0.04189,0.16667,0.04144
channel_204,0.04167,0.08333,0.20833,0.25000,0.12500
channel_205,0.04167,0.08333,0.20833,0.33333,0.25000
channel_206,0.04167,0.08333,0.20833,0.16667,0.04144
channel_207,0.04167,0.08333,0.16667,0.12500,0.20833
channel_208,0.04167,0.08333,0.12500,0.16667,0.04144
channel_209,0.04167,0.08333,0.20833,0.33333,0.16667
channel_21,0.08333,0.04167,0.16667,0.12500,0.25000
channel_210,0.04167,0.08333,0.20833,0.25000,0.16667
channel_211,0.04167,0.08333,0.12500,0.20833,0.16667
channel_212,0.04167,0.08333,0.12500,0.01190,0.16667
channel_213,0.04167,0.08333,0.12500,0.20833,0.16667
channel_214,0.04167,0.08333,0.20833,0.12500,0.16667
channel_215,0.04167,0.08333,0.12500,0.25000,0.20833
channel_216,0.04167,0.08333,0.12500,0.16667,0.20833
channel_217,0.04167,0.08333,0.25000,0.12500,0.20833
channel_218,0.04167,0.08333,0.16667,0.20833,0.12500
channel_219,0.04167,0.08333,0.16667,0.12500,0.20833
channel_22,0.08333,0.04167,0.16667,0.12500,0.01190
channel_220,0.04167,0.08333,0.25000,0.20833,0.12500
channel_221,0.04167,0.08333,0.16667,0.12500,0.20833
channel_222,0.04167,0.08333,0.12500,0.25000,0.20833
channel_223,0.04167,0.08333,0.16667,0.20833,0.12500
channel_224,0.04167,0.08333,0.25000,0.20833,0.16667
channel_225,0.04167,0.08333,0.12500,0.16667,0.20833
channel_226,0.04167,0.08333,0.20833,0.12500,0.25000
channel_227,0.04167,0.08333,0.20833,0.25000,0.12500
channel_228,0.04167,0.08333,0.20833,0.16667,0.12500
channel_229,0.04167,0.08333,0.25000,0.20833,0.12500
channel_23,0.04167,0.08333,0.12500,0.05357,0.07736
channel_230,0.04167,0.08333,0.20833,0.25000,0.33333
channel_231,0.04167,0.08333,0.12500,0.16667,0.25000
channel_232,0.04167,0.08333,0.16667,0.41667,0.29167
channel_233,0.04167,0.08333,0.20833,0.12500,0.16667
channel_234,0.04167,0.08333,0.16667,0.12500,0.20833
