Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
channel_1,0.01389,0.02778,0.02083,0.03470,0.04167
channel_10,0.01389,0.02778,0.02083,0.03472,0.01577
channel_100,0.01389,0.02778,0.02083,0.03472,0.04861
channel_101,0.01389,0.02778,0.02083,0.03472,0.01096
channel_102,0.01389,0.02778,0.02083,0.03472,0.01254
channel_103,0.01389,0.02778,0.02083,0.03472,0.01577
channel_104,0.01389,0.02778,0.02083,0.03472,0.01279
channel_105,0.01389,0.02778,0.02083,0.03472,0.01416
channel_106,0.01389,0.02778,0.02083,0.03472,0.04861
channel_107,0.01389,0.02778,0.02083,0.03472,0.01326
channel_108,0.01389,0.02778,0.02083,0.03472,0.01254
channel_109,0.01389,0.02778,0.02083,0.03472,0.01254
channel_11,0.01389,0.02778,0.02083,0.03472,0.01233
channel_110,0.01389,0.02778,0.02083,0.03472,0.01254
channel_111,0.01389,0.02778,0.02083,0.03472,0.01452
channel_112,0.01389,0.02778,0.02083,0.03472,0.01556
channel_113,0.01389,0.02778,0.02083,0.03472,0.01461
channel_114,0.01389,0.02778,0.02083,0.03472,0.01577
channel_115,0.01389,0.02778,0.02083,0.03472,0.04861
channel_116,0.01389,0.02778,0.02083,0.03472,0.01461
channel_117,0.01389,0.02778,0.02083,0.03472,0.01461
channel_118,0.01389,0.02778,0.02083,0.03472,0.04861
channel_119,0.01389,0.02778,0.02083,0.03472,0.01377
channel_12,0.01389,0.02778,0.02083,0.03472,0.01461
channel_120,0.01389,0.02778,0.02083,0.03472,0.01210
channel_121,0.01389,0.02778,0.02083,0.03472,0.01254
channel_122,0.01389,0.02778,0.02083,0.03470,0.04167
channel_123,0.01389,0.02778,0.02083,0.03472,0.01461
channel_124,0.01389,0.02778,0.02083,0.03472,0.01355
channel_125,0.01389,0.02778,0.02083,0.03472,0.01185
channel_126,0.01389,0.02778,0.02083,0.03472,0.04861
channel_127,0.01389,0.02778,0.02083,0.03472,0.01261
channel_128,0.01389,0.02778,0.02083,0.03472,0.01461
channel_129,0.01389,0.02778,0.02083,0.03472,0.01261
channel_13,0.01389,0.02778,0.02083,0.03472,0.01261
channel_130,0.01389,0.02778,0.02083,0.03472,0.04861
channel_131,0.01389,0.02778,0.02083,0.03472,0.01577
channel_132,0.01389,0.02778,0.02083,0.03472,0.01577
channel_133,0.01389,0.02778,0.02083,0.03472,0.01577
channel_134,0.01389,0.02778,0.02083,0.03472,0.04861
channel_135,0.01389,0.02778,0.02083,0.03472,0.01421
channel_136,0.01389,0.02778,0.02083,0.04167,0.03470
channel_137,0.01389,0.02778,0.02083,0.03472,0.01252
channel_14,0.01389,0.02778,0.02083,0.03472,0.01279
channel_15,0.01389,0.02778,0.02083,0.03472,0.01254
channel_16,0.01389,0.02778,0.02083,0.04167,0.03470
channel_17,0.01389,0.02778,0.02083,0.03472,0.01254
channel_18,0.01389,0.02778,0.02083,0.03472,0.01261
channel_19,0.01389,0.02778,0.02083,0.03472,0.01286
channel_2,0.01389,0.02778,0.02083,0.03472,0.04861
channel_20,0.01389,0.02778,0.02083,0.03472,0.01233
channel_21,0.01389,0.02778,0.02083,0.03472,0.01254
channel_22,0.01389,0.02778,0.02083,0.03472,0.01233
channel_23,0.01389,0.02778,0.02083,0.03470,0.04167
channel_24,0.01389,0.02778,0.02083,0.03472,0.01410
channel_25,0.01389,0.02778,0.02083,0.03472,0.01254
channel_26,0.01389,0.02778,0.02083,0.03472,0.01577
channel_27,0.01389,0.02778,0.02083,0.03472,0.01233
channel_28,0.01389,0.02778,0.02083,0.03472,0.04861
channel_29,0.01389,0.02778,0.02083,0.03472,0.04861
channel_3,0.01389,0.02778,0.02081,0.03472,0.01452
channel_30,0.01389,0.02083,0.02778,0.03472,0.01315
channel_31,0.01389,0.02778,0.02083,0.03470,0.04167
channel_32,0.01389,0.02778,0.02083,0.03472,0.01461
channel_33,0.01389,0.02778,0.02083,0.03472,0.01261
channel_34,0.01389,0.02778,0.02083,0.03472,0.01254
channel_35,0.01389,0.02778,0.02083,0.03472,0.01577
channel_36,0.01389,0.02778,0.02083,0.03472,0.04861
channel_37,0.01389,0.02778,0.02083,0.03472,0.01326
channel_38,0.01389,0.02778,0.02083,0.03472,0.01326
channel_39,0.01389,0.02778,0.02083,0.03472,0.01377
channel_4,0.01389,0.02778,0.02083,0.03472,0.01355
channel_40,0.01389,0.02778,0.02083,0.03472,0.01286
