Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
channel_1,0.01389,0.02778,0.02083,0.03470,0.04167
channel_101,0.01389,0.02778,0.02083,0.03472,0.01096
channel_103,0.01389,0.02778,0.02083,0.03472,0.01577
channel_105,0.01389,0.02778,0.02083,0.03472,0.01416
channel_107,0.01389,0.02778,0.02083,0.03472,0.01326
channel_109,0.01389,0.02778,0.02083,0.03472,0.01254
channel_11,0.01389,0.02778,0.02083,0.03472,0.01233
channel_111,0.01389,0.02778,0.02083,0.03472,0.01452
channel_113,0.01389,0.02778,0.02083,0.03472,0.01461
channel_115,0.01389,0.02778,0.02083,0.03472,0.04861
channel_117,0.01389,0.02778,0.02083,0.03472,0.01461
channel_119,0.01389,0.02778,0.02083,0.03472,0.01377
channel_121,0.01389,0.02778,0.02083,0.03472,0.01254
channel_123,0.01389,0.02778,0.02083,0.03472,0.01461
channel_125,0.01389,0.02778,0.02083,0.03472,0.01185
channel_127,0.01389,0.02778,0.02083,0.03472,0.01261
channel_13,0.01389,0.02778,0.02083,0.03472,0.01261
channel_15,0.01389,0.02778,0.02083,0.03472,0.01254
channel_17,0.01389,0.02778,0.02083,0.03472,0.01254
channel_19,0.01389,0.02778,0.02083,0.03472,0.01286
channel_21,0.01389,0.02778,0.02083,0.03472,0.01254
channel_23,0.01389,0.02778,0.02083,0.03470,0.04167
channel_25,0.01389,0.02778,0.02083,0.03472,0.01254
channel_27,0.01389,0.02778,0.02083,0.03472,0.01233
channel_29,0.01389,0.02778,0.02083,0.03472,0.04861
channel_3,0.01389,0.02778,0.02081,0.03472,0.01452
channel_31,0.01389,0.02778,0.02083,0.03470,0.04167
channel_33,0.01389,0.02778,0.02083,0.03472,0.01261
channel_35,0.01389,0.02778,0.02083,0.03472,0.01577
channel_37,0.01389,0.02778,0.02083,0.03472,0.01326
channel_39,0.01389,0.02778,0.02083,0.03472,0.01377
channel_41,0.01389,0.02778,0.02083,0.03472,0.04861
channel_43,0.01389,0.02778,0.02083,0.03472,0.01355
channel_45,0.01389,0.02778,0.02083,0.03470,0.04167
channel_47,0.01389,0.02778,0.02083,0.03472,0.01254
channel_49,0.01389,0.02778,0.02083,0.03472,0.01556
channel_5,0.01389,0.02778,0.02083,0.03470,0.04167
channel_51,0.01389,0.02778,0.02083,0.03472,0.01254
channel_53,0.01389,0.02778,0.02083,0.03472,0.01461
channel_55,0.01389,0.02778,0.02083,0.03472,0.01461
channel_57,0.01389,0.02778,0.02083,0.03472,0.01254
channel_59,0.01389,0.02778,0.02083,0.03472,0.01461
channel_61,0.01389,0.02778,0.02083,0.03472,0.01261
channel_63,0.01389,0.02778,0.02083,0.03472,0.01577
channel_65,0.01389,0.02778,0.02083,0.03472,0.01461
channel_67,0.01389,0.02778,0.02083,0.03472,0.01254
channel_69,0.01389,0.02778,0.02083,0.03470,0.04167
channel_7,0.01389,0.02778,0.02083,0.03472,0.01461
channel_71,0.01389,0.02778,0.02083,0.03472,0.04861
channel_73,0.01389,0.02778,0.02083,0.03472,0.01461
channel_75,0.01389,0.02778,0.02083,0.03472,0.01254
channel_77,0.01389,0.02778,0.02083,0.03472,0.01492
channel_79,0.01389,0.02778,0.02083,0.03472,0.01556
channel_81,0.01389,0.02778,0.02083,0.03472,0.01461
channel_83,0.01389,0.02778,0.02083,0.03472,0.01461
channel_85,0.01389,0.02778,0.02083,0.03472,0.01577
channel_87,0.01389,0.02778,0.02083,0.03472,0.01254
channel_89,0.01389,0.02778,0.02083,0.03472,0.01261
channel_9,0.01389,0.02778,0.02083,0.03472,0.01254
channel_91,0.01389,0.02778,0.02083,0.03472,0.01556
channel_93,0.01389,0.02778,0.02083,0.03472,0.01261
channel_95,0.01389,0.02778,0.02083,0.03472,0.01286
channel_97,0.01389,0.02778,0.02083,0.03470,0.04167
channel_99,0.01389,0.02778,0.02083,0.03472,0.01452
