Channel,Freq 1 (Cycles/Step),Freq 2 (Cycles/Step),Freq 3 (Cycles/Step),Freq 4 (Cycles/Step),Freq 5 (Cycles/Step)
H2OC (mmol/mol),0.01389,0.01169,0.01053,0.02082,0.01380
OT,0.01057,0.01085,0.01110,0.01139,0.01167
PAR (�mol/m�/s),0.01389,0.02082,0.02780,0.01374,0.01317
SWDR (W/m�),0.01389,0.02082,0.02780,0.01374,0.01317
T (degC),0.01389,0.02086,0.01167,0.01351,0.01427
Tdew (degC),0.01389,0.01059,0.02086,0.01169,0.01215
Tlog (degC),0.01389,0.02086,0.01169,0.02778,0.01063
Tpot (K),0.01389,0.02086,0.01167,0.01351,0.01222
VPact (mbar),0.01389,0.01169,0.01053,0.02082,0.01380
VPdef (mbar),0.01389,0.02086,0.01167,0.01059,0.01596
VPmax (mbar),0.01389,0.02086,0.01167,0.01351,0.01427
max. PAR (�mol/m�/s),0.01389,0.02082,0.02780,0.01063,0.01370
max. wv (m/s),0.01389,0.02082,0.01459,0.01112,0.01085
p (mbar),0.01389,0.02082,0.01078,0.01059,0.01099
rain (mm),0.02082,0.02951,0.01655,0.01177,0.01317
raining (s),0.01103,0.01402,0.01084,0.01497,0.01093
rh (%),0.01389,0.01167,0.01059,0.02086,0.01087
rho (g/m**3),0.01389,0.02086,0.01351,0.01222,0.01169
sh (g/kg),0.01389,0.01169,0.01053,0.02082,0.01380
wd (deg),0.02086,0.01539,0.01387,0.01091,0.01074
wv (m/s),0.01389,0.01108,0.02086,0.01533,0.01459
